item_id	i_category_c	i_subcategory_c
9356	5	112
5860	5	147
7162	7	106
1625	14	179
6057	14	179
4606	4	158
3687	5	67
1143	4	155
4464	12	70
1028	5	147
1811	4	158
5179	7	91
5869	7	92
8219	7	162
7835	7	107
333	5	147
4465	14	184
2969	7	92
5978	7	98
5705	5	147
1838	5	147
4433	5	190
8293	5	147
4870	2	75
9333	12	72
4840	7	102
2057	4	168
1810	12	148
3314	7	98
516	3	151
4132	7	88
532	13	175
7313	2	75
3723	5	147
8954	16	191
3266	7	88
7983	7	87
268	4	168
9116	7	190
7236	12	72
3491	13	173
1959	7	90
8537	5	190
873	13	174
1352	7	97
1272	1	13
4647	4	141
3523	13	175
6330	4	157
1798	7	190
5734	16	191
291	7	190
9292	14	179
6769	3	60
1705	14	179
2131	4	31
3331	7	89
5680	7	90
8929	13	174
6317	1	19
5187	7	92
791	3	58
4711	3	58
7642	7	190
541	10	139
8007	7	92
3083	12	115
107	4	69
6472	3	66
6063	7	90
169	7	80
4054	1	7
1753	5	192
2016	5	193
6521	7	89
4624	5	190
1992	16	191
8222	4	141
3571	8	121
7403	5	193
7135	7	190
6434	7	90
8279	4	158
8307	10	133
4317	7	106
5505	5	147
956	7	190
4490	7	190
8344	7	190
7527	16	191
2249	9	123
8697	8	116
9220	3	49
5198	7	106
6707	10	144
9026	1	6
8057	5	112
8010	5	112
7833	3	111
3250	4	141
7755	10	139
6817	1	20
986	2	75
724	13	172
6945	4	188
8130	7	162
1047	3	55
3121	10	136
2189	13	175
5812	5	193
2875	1	7
6015	7	97
5174	7	104
8999	5	193
9145	3	51
403	7	162
2446	10	144
7536	10	137
8519	7	91
6273	7	91
4405	9	124
7094	2	44
9263	7	87
622	5	147
6670	7	106
152	7	93
4418	10	133
6232	5	112
5358	3	63
6170	7	95
3145	5	192
4271	7	92
2053	3	66
3239	7	87
2543	9	123
788	3	58
1917	7	90
472	7	104
8939	2	40
4259	2	40
2197	5	2
5298	5	67
8778	7	190
6298	4	69
6081	5	112
6838	5	147
618	10	133
421	5	147
7408	7	93
1236	13	172
6246	4	141
5029	5	193
3895	12	115
289	13	173
688	7	106
4848	2	44
5679	4	141
3549	7	190
6198	12	72
2941	7	102
1505	12	70
5285	5	112
273	12	82
6325	7	93
2398	5	193
8505	4	158
1766	5	192
5219	10	38
1216	7	190
2460	1	10
9360	3	58
4325	7	106
3147	1	14
1289	9	125
2194	7	87
6712	13	175
8790	7	92
7741	13	175
8184	5	147
7208	3	58
7281	5	2
549	7	104
3257	14	179
8375	12	72
7293	4	168
1019	16	191
323	15	4
8009	4	36
3150	3	63
8232	5	190
306	7	98
8469	7	162
6363	5	192
6939	8	116
8181	3	60
4184	1	7
8153	7	89
4323	4	141
1187	13	175
5741	2	40
1303	13	175
1090	4	157
3937	4	168
1337	2	40
4443	13	173
200	7	162
6768	7	89
7282	7	101
8152	5	193
8585	7	92
1350	1	13
5894	3	59
3716	10	139
4995	7	190
6067	3	59
3376	1	8
9207	5	193
3768	7	3
9363	16	191
5129	5	67
3720	3	58
2395	7	162
1265	4	157
2014	14	179
4850	7	190
2240	2	45
2095	3	58
2072	7	87
7128	5	147
3746	4	157
5033	5	193
580	1	7
7216	4	188
3244	3	58
5981	4	158
7571	4	158
6114	4	168
4354	1	10
1859	5	193
2373	7	33
8557	4	155
7198	5	193
1089	3	59
5019	2	23
9214	3	49
4534	12	29
507	1	19
4019	7	88
3269	4	157
7170	3	58
8879	16	191
2116	7	91
7893	5	112
4672	7	107
1960	7	95
8345	5	67
42	8	119
1339	7	162
9113	4	158
1556	7	97
5015	7	95
4574	5	78
1374	5	67
192	7	92
4809	5	193
7110	7	190
8704	3	58
6208	13	187
8465	8	119
1109	5	193
8605	5	192
2038	4	157
3295	7	162
8366	7	92
1752	5	193
8212	12	27
2848	4	157
7467	7	90
901	7	97
4080	7	87
632	5	192
2627	1	13
2082	4	141
5347	5	147
2866	7	109
151	5	67
1307	5	192
6691	3	58
